,book_id,chap_id,term_str,n,tfidf
23829,6262,3,witnessed,1,0.007576666086137553
23830,6262,3,won,6,0.022478754227830754
23831,6262,3,wonder,1,0.004898809905151687
23832,6262,3,wondered,1,0.004077784259332933
23833,6262,3,wonderful,1,0.005741803700816452
23834,6262,3,wondering,1,0.006503340396740937
23835,6262,3,wool,1,0.007576666086137553
23836,6262,3,woops,1,0.011246390856779755
23837,6262,3,word,5,0.006761152240056938
23838,6262,3,words,10,0.009441709593206574
23839,6262,3,work,3,0.0017720812562607104
23840,6262,3,workers,1,0.004456593208814449
23841,6262,3,workings,1,0.008338202782062038
23842,6262,3,world,1,0.0017602899367021177
23843,6262,3,worried,1,0.005151109948729549
23844,6262,3,worst,1,0.0037464590379717925
23845,6262,3,worth,1,0.0033162475634084484
23846,6262,3,would,68,0.013339878653803318
23847,6262,3,wouldn,12,0.08383166800860781
23848,6262,3,wrestling,2,0.018823056942917308
23849,6262,3,wristwatch,1,0.008338202782062038
23850,6262,3,writhing,1,0.009411528471458654
23851,6262,3,writing,1,0.003452028446791525
23852,6262,3,wrong,1,0.0014160202061043719
23853,6262,3,yawn,1,0.00698597233405065
23854,6262,3,years,1,0.0017602899367021177
23855,6262,3,yellow,1,0.006095280908050206
23856,6262,3,yes,11,0.009797605686004879
23857,6262,3,yesterday,2,0.0061278950396611714
23858,6262,3,yet,8,0.004725550016695227
23859,6262,3,york,13,0.08454342515763218
23860,6262,3,you,222,0.04355078031094613
23861,6262,3,young,3,0.004645215402290192
23862,6262,3,your,42,0.022841295627099897
23863,6262,3,yourself,6,0.008888311068524082
23864,6262,3,youthful,1,0.008338202782062038
23865,6262,3,zigzag,1,0.009411528471458654
23866,6262,4,a,198,0.0
23867,6262,4,aback,1,0.009094473434299586
23868,6262,4,abandoned,1,0.0036202485384656505
23869,6262,4,abattoirs,1,0.010867523079689656
23870,6262,4,able,4,0.0022831779779245555
23871,6262,4,about,18,0.0063365642355983015
23872,6262,4,above,2,0.0021479470244253674
23873,6262,4,abreast,1,0.010867523079689656
23874,6262,4,abruptly,1,0.005548374143519444
23875,6262,4,absence,3,0.013533619767147927
23876,6262,4,abutted,1,0.010867523079689656
23877,6262,4,accept,1,0.002254081598967011
23878,6262,4,accepted,1,0.0036202485384656505
23879,6262,4,accompaniment,1,0.008057305879829451
23880,6262,4,according,1,0.0033357367083357817
23881,6262,4,accordingly,1,0.005889943430651351
23882,6262,4,accused,1,0.005548374143519444
23883,6262,4,achieve,1,0.0033357367083357817
23884,6262,4,acquaintance,1,0.00430645974965226
23885,6262,4,acquaintances,1,0.004511206589049309
23886,6262,4,across,5,0.011270407994835056
23887,6262,4,act,1,0.003775324498129373
23888,6262,4,actually,3,0.00429444107477449
23889,6262,4,add,1,0.0034740390345791737
23890,6262,4,added,4,0.008669449796712398
23891,6262,4,addressed,2,0.011779886861302703
23892,6262,4,adequate,1,0.006750629294428376
23893,6262,4,admit,1,0.002738156943659238
23894,6262,4,admittedly,3,0.014932738947114915
